County,Station,Date,FClass,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23,Hour24
1,80,10/19/2016,12,27,24,20,43,49,157,442,964,803,379,373,365,369,419,481,503,702,872,492,322,208,144,104,75
1,80,10/20/2016,12,26,27,20,20,40,149,446,921,722,465,423,387,408,483,551,611,750,945,568,358,236,187,175,86
1,99,10/19/2016,12,436,317,231,301,545,1365,3411,5220,4041,3045,2894,3155,3171,3223,3937,4514,4713,5086,3523,2620,1823,1214,1124,1030
1,99,10/20/2016,12,459,293,285,318,547,1364,3310,5282,4005,3134,3003,3076,3434,3423,4118,4806,4717,5466,3858,2948,1932,1520,1263,1099
1,9,10/24/2017,2,35,22,21,33,74,138,139,269,216,221,210,227,256,258,255,291,315,322,263,158,126,77,51,66
1,10,11/28/2017,4,6,9,2,6,7,39,92,257,194,131,136,162,171,149,189,197,219,277,164,89,55,45,44,12
1,11,11/14/2017,2,83,38,42,50,107,367,1114,2019,1935,1656,1537,1563,1584,1612,1766,1983,2146,2036,1156,747,491,394,240,86
1,17,11/07/2017,4,9,6,9,12,12,34,57,94,102,91,83,85,88,90,83,100,115,130,70,45,36,20,15,9
1,65,10/24/2017,4,2,3,10,12,7,28,46,46,47,59,59,63,51,75,65,64,73,69,69,36,22,16,11,11
1,73,10/24/2017,4,26,7,10,16,28,65,237,354,283,197,209,186,189,188,205,260,301,390,321,202,110,100,46,34
1,133,11/07/2017,2,16,16,8,34,44,84,193,231,181,170,137,174,184,168,167,196,190,219,145,106,53,36,26,25
1,149,10/25/2017,2,138,74,76,84,212,632,1786,2541,2256,1719,1616,1640,1661,1747,1913,2238,2618,2827,1760,1111,777,556,389,221
1,151,11/07/2017,4,15,7,8,14,17,90,310,412,200,144,140,129,148,166,198,265,309,397,279,119,82,63,55,38
1,152,11/07/2017,4,8,18,6,5,21,62,229,546,263,170,195,196,205,221,270,327,363,473,410,225,146,92,60,36
1,153,11/07/2017,4,15,11,7,15,30,56,159,362,185,176,138,168,157,181,220,282,333,371,307,161,127,74,42,28
1,155,11/07/2017,4,43,25,21,20,54,143,391,1389,868,567,510,570,707,589,673,934,1092,1433,902,574,398,269,142,76
1,156,11/07/2017,4,20,19,14,23,55,127,154,178,138,140,120,130,129,127,95,171,209,246,138,67,65,54,43,20
